_id,operator_registration_number,postal_code,ward_number,ward_name
450796,STR-2109-GGTHHF,M4X,13,Toronto Centre
450797,STR-2109-GPZHHG,M5H,10,Spadina-Fort York
450798,STR-2109-HFMHHJ,M1B,23,Scarborough North
450799,STR-2109-HMTHHK,M6J,10,Spadina-Fort York
450800,STR-2109-HVZHHL,M5A,13,Toronto Centre
450801,STR-2109-JDGHHM,M8Z,3,Etobicoke-Lakeshore
450802,STR-2109-FJQVHB,M5V,10,Spadina-Fort York
450803,STR-2109-FZCVHD,M4S,12,Toronto-St. Paul's
450804,STR-2109-GHJVHF,M8V,3,Etobicoke-Lakeshore
450805,STR-2109-GQQVHG,M5V,10,Spadina-Fort York
450806,STR-2109-GXWVHH,M5V,10,Spadina-Fort York
450807,STR-2109-HPJVHK,M6R,4,Parkdale-High Park
450808,STR-2109-HWQVHL,M4M,14,Toronto-Danforth
450809,STR-2109-JDWVHM,M6C,12,Toronto-St. Paul's
450810,STR-2109-FKGHHB,M5V,10,Spadina-Fort York
450811,STR-2109-FSMHHC,M5V,10,Spadina-Fort York
450812,STR-2109-GHZHHF,M9W,1,Etobicoke North
450813,STR-2109-GRGHHG,M1B,23,Scarborough North
450814,STR-2109-GYMHHH,M8Y,3,Etobicoke-Lakeshore
450815,STR-2109-HPZHHK,M6N,5,York South-Weston
450816,STR-2109-HXGHHL,M3N,7,Humber River-Black Creek
450817,STR-2109-JFMHHM,M6J,11,University-Rosedale
450818,STR-2109-FTCVHC,M6J,10,Spadina-Fort York
450819,STR-2109-GBJVHD,M6K,9,Davenport
450820,STR-2109-GJQVHF,M6G,11,University-Rosedale
450821,STR-2109-GRWVHG,M4Y,13,Toronto Centre
450822,STR-2109-GZCVHH,M6R,4,Parkdale-High Park
450823,STR-2109-HQQVHK,M5V,10,Spadina-Fort York
450824,STR-2109-HXWVHL,M4P,15,Don Valley West
450825,STR-2109-JGCVHM,M8V,3,Etobicoke-Lakeshore
450826,STR-2109-FLMHHB,M6R,9,Davenport
450827,STR-2109-FTTHHC,M4C,19,Beaches-East York
450828,STR-2109-GBZHHD,M5A,13,Toronto Centre
450829,STR-2109-GKGHHF,M2M,18,Willowdale
450830,STR-2109-GZTHHH,M1S,22,Scarborough-Agincourt
450831,STR-2109-HHZHHJ,M5V,10,Spadina-Fort York
450832,STR-2109-HRGHHK,M6J,9,Davenport
450833,STR-2109-HYMHHL,M2N,18,Willowdale
450834,STR-2109-JGTHHM,M1S,22,Scarborough-Agincourt
450835,STR-2109-FDYBHB,M5J,10,Spadina-Fort York
450836,STR-2112-GSYDVH,M4V,12,Toronto-St. Paul's
450837,STR-2109-FMFBHC,M6K,10,Spadina-Fort York
450838,STR-2109-FVLBHD,M2R,18,Willowdale
450839,STR-2109-GCSBHF,M6H,9,Davenport
450840,STR-2109-GKYBHG,M6N,5,York South-Weston
450841,STR-2109-GTFBHH,M1L,20,Scarborough Southwest
450842,STR-2109-HBLBHJ,M5V,10,Spadina-Fort York
450843,STR-2109-HJSBHK,M4C,19,Beaches-East York
450844,STR-2109-HRYBHL,M6J,9,Davenport
450845,STR-2109-FFPPHB,M4L,19,Beaches-East York
450846,STR-2109-FMVPHC,M4P,15,Don Valley West
450847,STR-2109-FWBPHD,M5V,10,Spadina-Fort York
450848,STR-2109-GDHPHF,M6P,9,Davenport
450849,STR-2109-GTVPHH,M6K,4,Parkdale-High Park
450850,STR-2109-HCBPHJ,M4M,14,Toronto-Danforth
450851,STR-2109-HSPPHL,M6E,8,Eglinton-Lawrence
450852,STR-2109-HZVPHM,M2M,18,Willowdale
450853,STR-2109-FGFBHB,M5V,,
450854,STR-2109-FPLBHC,M9B,2,Etobicoke Centre
450855,STR-2109-GDYBHF,M6G,11,University-Rosedale
450856,STR-2109-GMFBHG,M2J,17,Don Valley North
450857,STR-2109-GVLBHH,M2M,17,Don Valley North
450858,STR-2109-HTFBHL,M4Y,11,University-Rosedale
450859,STR-2109-JBLBHM,M4L,19,Beaches-East York
450860,STR-2109-FGVPHB,M5B,13,Toronto Centre
450861,STR-2109-FQBPHC,M4R,8,Eglinton-Lawrence
450862,STR-2109-FXHPHD,M5V,10,Spadina-Fort York
450863,STR-2109-GFPPHF,M3K,6,York Centre
