_id,operator_registration_number,postal_code,ward_number,ward_name
450203,STR-2101-HCHKVJ,M9N,5,York South-Weston
450204,STR-2101-HKPKVK,M5S,11,University-Rosedale
450205,STR-2101-HSVKVL,M5A,13,Toronto Centre
450206,STR-2101-FGKXVB,M4C,19,Beaches-East York
450207,STR-2101-FPRXVC,M6J,10,Spadina-Fort York
450208,STR-2101-FWXXVD,M8V,3,Etobicoke-Lakeshore
450209,STR-2101-GFDXVF,M4J,14,Toronto-Danforth
450210,STR-2101-GVRXVH,M9N,5,York South-Weston
450211,STR-2101-HCXXVJ,M4Y,13,Toronto Centre
450212,STR-2101-HLDXVK,M6P,4,Parkdale-High Park
450213,STR-2101-JBRXVM,M5V,10,Spadina-Fort York
450214,STR-2101-FHBKVB,M6J,9,Davenport
450215,STR-2101-FQHKVC,M5R,11,University-Rosedale
450216,STR-2101-FXPKVD,M2M,18,Willowdale
450217,STR-2101-GFVKVF,M5V,10,Spadina-Fort York
450218,STR-2101-GPBKVG,M4J,14,Toronto-Danforth
450219,STR-2101-GWHKVH,M9P,2,Etobicoke Centre
450220,STR-2101-HDPKVJ,M4Y,13,Toronto Centre
450221,STR-2101-HLVKVK,M5V,10,Spadina-Fort York
450222,STR-2101-HVBKVL,M4X,13,Toronto Centre
